year,n,min,q25,median,mean,q75,max
2000,506717,0.261990,0.528581,0.650420,0.688915,0.866707,0.999998
2005,506844,0.279484,0.546539,0.657009,0.695121,0.861866,0.999998
2010,506979,0.269577,0.535429,0.656263,0.694420,0.867517,0.999999
2015,507043,0.278753,0.551765,0.660032,0.701270,0.870910,0.999998
2020,506958,0.286766,0.550497,0.654679,0.699124,0.870490,0.998476
2024,507208,0.259537,0.545825,0.680585,0.710819,0.897204,0.995727
