period,n,min,q25,median,mean,q75,max
2000-2005,506326,-0.278889,-0.008091,0.007218,0.006251,0.021983,0.279216
2005-2010,506546,-0.253179,-0.015360,0.000362,-0.000697,0.015046,0.248029
2010-2015,506634,-0.305772,-0.008322,0.005676,0.006806,0.022316,0.366588
2015-2020,506605,-0.310019,-0.023677,-0.003221,-0.002146,0.017828,0.336992
2020-2024,506716,-0.213066,-0.007078,0.008484,0.011753,0.028558,0.484208
2000-2024,506498,-0.312616,0.003560,0.019581,0.021972,0.037555,0.487730
