period,worse_pixels,same_pixels,better_pixels,worse_percent,same_percent,better_percent
2000-2005,11707,468007,26612,2.312146719702326,92.43195095649838,5.255902323799291
2005-2010,22678,466213,17655,4.476987282497542,92.03764317554575,3.485369541956703
2010-2015,14514,466112,26008,2.8647899667215384,92.00172116360133,5.133488869677124
2015-2020,29237,447800,29568,5.7711629375943785,88.3923372252544,5.836499837151233
2020-2024,24101,443841,38774,4.756313201083052,87.59166870594179,7.652018092975157
2000-2024,8216,453793,44489,1.6221189422268203,89.59423334346829,8.783647714304893
