Factor,q,p_value
DEM,0.13167945805310732,0.001
SLOPE,0.10622377654354964,0.001
ASPECT,0.007148322948596353,0.001
WRB,0.42423337110212145,0.001
PRE,0.7450459505027471,0.001
TEMMAX,0.1934283519989527,0.001
TEMMIN,0.035267314011847795,0.001
TEM,0.08531439153567011,0.001
SOIL,0.7429595525824813,0.001
AET,0.7634672460668416,0.001
SWE,0.6729756594861063,0.001
LUCC,0.8202244042540262,0.001
HAI,0.12154265242874507,0.001
