Factor,q,p_value
DEM,0.1568843033811934,0.001
SLOPE,0.09222810979482243,0.001
ASPECT,0.00734932039380809,0.001
WRB,0.4052515281449077,0.001
PRE,0.733674359233281,0.001
TEMMAX,0.1738343754704016,0.001
TEMMIN,0.07797609696720009,0.001
TEM,0.11915647007726504,0.001
SOIL,0.7537540094787004,0.001
AET,0.7507933978458254,0.001
SWE,0.6668023743951255,0.001
LUCC,0.8359806155526045,0.001
HAI,0.11361813327812675,0.001
