,DEM,SLOPE,ASPECT,WRB,PRE,TEMMAX,TEMMIN,TEM,SOIL,AET,SWE
DEM,0.1434095499,0.4310089142,0.1609223280,0.7545534562,0.8066020221,0.6627152837,0.3107816158,0.5345163398,0.8024859525,0.8164549715,0.6447255248
SLOPE,0.4310089142,0.0992858999,0.1080916053,0.6125053549,0.7254264301,0.3099917024,0.2969520734,0.2946492192,0.6951801540,0.7790065433,0.5007610353
ASPECT,0.1609223280,0.1080916053,0.0075262988,0.6001200080,0.6999296240,0.2459617259,0.1086513935,0.1743554390,0.6768033619,0.7493638044,0.4777881183
WRB,0.7545534562,0.6125053549,0.6001200080,0.5953171763,0.8076912393,0.6803073204,0.7293003889,0.6980389588,0.7887365659,0.8263639632,0.7138447147
PRE,0.8066020221,0.7254264301,0.6999296240,0.8076912393,0.6944003016,0.8099651627,0.8055444030,0.8084979866,0.7171983459,0.7547844236,0.7049322211
TEMMAX,0.6627152837,0.3099917024,0.2459617259,0.6803073204,0.8099651627,0.2366671580,0.5867353274,0.4649548473,0.7996944524,0.8124351826,0.7122957608
TEMMIN,0.3107816158,0.2969520734,0.1086513935,0.7293003889,0.8055444030,0.5867353274,0.0899706196,0.4171472953,0.7912452484,0.8123494084,0.6789360515
TEM,0.5345163398,0.2946492192,0.1743554390,0.6980389588,0.8084979866,0.4649548473,0.4171472953,0.1612188550,0.7971401963,0.8142437621,0.7004483485
SOIL,0.8024859525,0.6951801540,0.6768033619,0.7887365659,0.7171983459,0.7996944524,0.7912452484,0.7971401963,0.6740719203,0.7594041022,0.6821424205
AET,0.8164549715,0.7790065433,0.7493638044,0.8263639632,0.7547844236,0.8124351826,0.8123494084,0.8142437621,0.7594041022,0.7454475639,0.7529145376
SWE,0.6447255248,0.5007610353,0.4777881183,0.7138447147,0.7049322211,0.7122957608,0.6789360515,0.7004483485,0.6821424205,0.7529145376,0.4672839278
