Factor,q,p_value
DEM,0.121576779666426,0.001
SLOPE,0.10852921492739154,0.001
ASPECT,0.007037193746987858,0.001
WRB,0.4228766204611114,0.001
PRE,0.7480954960067276,0.001
TEMMAX,0.0764566907169355,0.001
TEMMIN,0.035644535436144764,0.001
TEM,0.03027517556607806,0.001
SOIL,0.7348695442269777,0.001
AET,0.7464799347350097,0.001
SWE,0.5843797191709207,0.001
LUCC,0.8263860034755279,0.001
HAI,0.13238066010018223,0.001
