Factor,q,p_value
DEM,0.17067563319035295,0.001
SLOPE,0.07937377129513568,0.001
ASPECT,0.0075539287864836435,0.001
WRB,0.41265183638841474,0.001
PRE,0.7530956665607413,0.001
TEMMAX,0.14407444726905416,0.001
TEMMIN,0.04351600680253842,0.001
TEM,0.06458717032383399,0.001
SOIL,0.7371109957233422,0.001
AET,0.7672052175250188,0.001
SWE,0.6308433237211135,0.001
LUCC,0.8269555245729532,0.001
HAI,0.11347501605217514,0.001
