Factor,q,p_value
DEM,0.1319218984546333,0.001
SLOPE,0.1033139862439868,0.001
ASPECT,0.0070301603441910165,0.001
WRB,0.4113459328925916,0.001
PRE,0.7133398355480962,0.001
TEMMAX,0.18352310343080103,0.001
TEMMIN,0.03573960238987828,0.001
TEM,0.08352660141034263,0.001
SOIL,0.7376311473368684,0.001
AET,0.6784217808071655,0.001
SWE,0.6266316975521566,0.001
LUCC,0.8150804092271513,0.001
HAI,0.12480073923048007,0.001
