Factor,q,p_value
DEM,0.11979211295927228,0.001
SLOPE,0.10339665016880839,0.001
ASPECT,0.006905854956354651,0.001
WRB,0.4254047805687009,0.001
PRE,0.7463321637727394,0.001
TEMMAX,0.08948783771267987,0.001
TEMMIN,0.04914781390790113,0.001
TEM,0.03661890563533121,0.001
SOIL,0.6888125772047397,0.001
AET,0.7622432251434944,0.001
SWE,0.6473118368881876,0.001
LUCC,0.8097171794931203,0.001
HAI,0.10042327813009588,0.001
