variable,pc1_loading,pooled_mean_after_direction_norm,eigenvalue_pc1,pc1_explained_variance_ratio,pc1_score_p1,pc1_score_p99
NDVI,0.5736318638940965,0.5094835,0.29894689163823385,0.7855997221766254,-0.8937386578237131,0.913880324501903
WET,0.3069375803925217,0.5369508,0.29894689163823385,0.7855997221766254,-0.8937386578237131,0.913880324501903
NDBSI,0.4185008688099048,0.42173925,0.29894689163823385,0.7855997221766254,-0.8937386578237131,0.913880324501903
LST,0.28133293955266037,0.54950017,0.29894689163823385,0.7855997221766254,-0.8937386578237131,0.913880324501903
SRSI,0.5678420611368827,0.5036617,0.29894689163823385,0.7855997221766254,-0.8937386578237131,0.913880324501903
