year,valid_pixels,AWRSEI_mean,AWRSEI_std,HAI_mean,HAI_std,HAI_reverse_mean,HAI_reverse_std,HARSEI_mean,HARSEI_std
2000,506717,0.4872834384441376,0.31198495626449585,0.049121707677841187,0.07584183663129807,0.950878381729126,0.07584183663129807,0.688914954662323,0.17992426455020905
2001,506658,0.4809837341308594,0.30740994215011597,0.04906214401125908,0.0757146030664444,0.950937807559967,0.0757146030664444,0.6851926445960999,0.177345409989357
2002,506919,0.47526368498802185,0.3037165105342865,0.04920696094632149,0.0758989229798317,0.9507929682731628,0.0758989229798317,0.6809672117233276,0.17546257376670837
2003,506946,0.4887559413909912,0.2853987216949463,0.04910837486386299,0.07570499181747437,0.9508915543556213,0.07570498436689377,0.6879398226737976,0.16763140261173248
2004,506974,0.4734770655632019,0.29429182410240173,0.04919944703578949,0.07578431069850922,0.9508004188537598,0.07578431069850922,0.6791946887969971,0.17166166007518768
2005,506844,0.4982519745826721,0.2937198281288147,0.04913517087697983,0.07572104781866074,0.9508646726608276,0.07572104036808014,0.6951209306716919,0.17012611031532288
2006,506618,0.48331502079963684,0.30139246582984924,0.04908645898103714,0.0757143497467041,0.9509136080741882,0.0757143497467041,0.6851551532745361,0.17543591558933258
2007,506940,0.4810214340686798,0.3134848475456238,0.049419865012168884,0.07607445120811462,0.9505801200866699,0.07607445865869522,0.6846100091934204,0.1806427240371704
2008,507145,0.44795462489128113,0.3054335415363312,0.04967096820473671,0.07642944902181625,0.9503291249275208,0.07642944157123566,0.6613767147064209,0.18119369447231293
2009,505297,0.4943486452102661,0.31052249670028687,0.049947191029787064,0.0766267403960228,0.9500529170036316,0.0766267329454422,0.6923196315765381,0.17819637060165405
2010,506979,0.4992949366569519,0.299640953540802,0.05027778074145317,0.07713261991739273,0.9497222304344177,0.07713262736797333,0.6944201588630676,0.17370571196079254
2011,507110,0.4761371612548828,0.2847689986228943,0.049996715039014816,0.07680295407772064,0.9500032663345337,0.07680295407772064,0.6791144013404846,0.1678827553987503
2012,507229,0.47675204277038574,0.28556719422340393,0.05004821717739105,0.07688702642917633,0.949951708316803,0.07688702642917633,0.6801925897598267,0.16729754209518433
2013,506156,0.5322086215019226,0.29609477519989014,0.04986264929175377,0.07674853503704071,0.9501374363899231,0.07674853503704071,0.7160625457763672,0.16835977137088776
2014,506811,0.5009725689888,0.3003874123096466,0.053677719086408615,0.07688195258378983,0.9463223218917847,0.07688195258378983,0.6946069002151489,0.17353487014770508
2015,507043,0.5114808082580566,0.2963992953300476,0.05172979459166527,0.07671571522951126,0.9482702016830444,0.07671571522951126,0.7012704014778137,0.17177967727184296
2016,507033,0.5196746587753296,0.2987689971923828,0.050481610000133514,0.07664057612419128,0.9495184421539307,0.07664057612419128,0.7075322866439819,0.17110994458198547
2017,507235,0.4994628429412842,0.31319668889045715,0.05898907408118248,0.0768885612487793,0.9410108327865601,0.0768885686993599,0.6915053129196167,0.18075992166996002
2018,506719,0.49355241656303406,0.3075152337551117,0.05504350736737251,0.07683050632476807,0.9449566602706909,0.07683049887418747,0.6896368861198425,0.17756500840187073
2019,506962,0.5061922669410706,0.2907329201698303,0.05829254165291786,0.07693986594676971,0.9417073130607605,0.07693985849618912,0.6960501074790955,0.1675463169813156
2020,506958,0.5116760730743408,0.30013012886047363,0.05804331228137016,0.07693121582269669,0.9419567584991455,0.07693121582269669,0.6991238594055176,0.17419317364692688
2021,507143,0.5056611895561218,0.3050682842731476,0.06090213358402252,0.07720552384853363,0.9390977621078491,0.07720551639795303,0.6940966248512268,0.17690524458885193
2022,507273,0.47091999650001526,0.30531251430511475,0.06311549991369247,0.07728133350610733,0.9368846416473389,0.07728133350610733,0.6708495020866394,0.1793665587902069
2023,507016,0.5110514760017395,0.30474206805229187,0.0663389340043068,0.07733882963657379,0.933661162853241,0.0773388221859932,0.6947950720787048,0.1763743907213211
2024,507208,0.5368093848228455,0.3169356882572174,0.06684903800487518,0.07743356376886368,0.9331508278846741,0.07743356376886368,0.7108187675476074,0.180219367146492
