Year,Variable,Rank_by_mean_abs_SHAP,Mean_abs_SHAP,Mean_SHAP,RF_impurity_importance
2000,AET,1,0.04931197315454483,-0.001502610044553876,0.27440354228019714
2000,SOIL,2,0.04060398042201996,-0.0008936166996136308,0.19553522765636444
2000,PRE,3,0.0402345284819603,-0.0010086101246997714,0.21597279608249664
2000,DEM,4,0.019662993028759956,8.528038597432896e-05,0.06101265922188759
2000,TEMMAX,5,0.01902708038687706,-0.0006878417334519327,0.0654999315738678
2000,SWE,6,0.01817469298839569,-0.0007182224071584642,0.08188888430595398
2000,WRB,7,0.010710658505558968,4.894173343927832e-06,0.02634691819548607
2000,TEM,8,0.00902662891894579,-0.00015450907812919468,0.03206915780901909
2000,SLOPE,9,0.008977117016911507,6.6292894189246e-05,0.013848158530890942
2000,TEMMIN,10,0.0073481067083776,-3.8772242987761274e-05,0.028220046311616898
2000,ASPECT,11,0.0031536153983324766,-0.00012477759446483105,0.005202684551477432
2005,PRE,1,0.05360247194766998,-0.0024134162813425064,0.27841585874557495
2005,AET,2,0.03791078180074692,-0.0021874303929507732,0.21037018299102783
2005,SOIL,3,0.03159714862704277,-0.0007118480862118304,0.14874385297298431
2005,SWE,4,0.021556979045271873,-0.0011023891856893897,0.09917831420898438
2005,DEM,5,0.019268285483121872,-0.0016388301737606525,0.06346680223941803
2005,TEMMAX,6,0.014453441835939884,-0.00013842352200299501,0.06055290997028351
2005,WRB,7,0.011426744982600212,-0.0011206594062969089,0.03452388569712639
2005,TEM,8,0.009604050777852535,-6.441017467295751e-05,0.03986049070954323
2005,SLOPE,9,0.009557893499732018,-0.0003411776851862669,0.018969779834151268
2005,TEMMIN,10,0.00945872813463211,5.33061902387999e-05,0.03933145850896835
2005,ASPECT,11,0.0035769506357610226,6.27981498837471e-05,0.006586466915905476
2010,SOIL,1,0.051539406180381775,0.0015267201233655214,0.2543482184410095
2010,AET,2,0.04152853041887283,0.0012150356778874993,0.2210201621055603
2010,PRE,3,0.03407883271574974,0.0005209519295021892,0.17803436517715454
2010,SWE,4,0.020221835002303123,-0.0005455080536194146,0.08924679458141327
2010,DEM,5,0.017986556515097618,0.000142533695907332,0.060211241245269775
2010,TEMMAX,6,0.017804058268666267,0.00022593277390114963,0.06731075793504715
2010,TEM,7,0.013562641106545925,4.487326805246994e-05,0.052129752933979034
2010,SLOPE,8,0.010141650214791298,0.00025855639250949025,0.015931859612464905
2010,WRB,9,0.009773151949048042,7.476015161955729e-05,0.02403230033814907
2010,TEMMIN,10,0.008378226310014725,-5.795778633910231e-06,0.031954191625118256
2010,ASPECT,11,0.003259515855461359,-2.1308705981937237e-05,0.005780346691608429
2015,SOIL,1,0.04566586762666702,0.0007643300923518836,0.23439905047416687
2015,AET,2,0.04339366406202316,-0.00021937376004643738,0.22912010550498962
2015,PRE,3,0.0312739834189415,0.0004695956304203719,0.17278984189033508
2015,SWE,4,0.019313106313347816,0.000587566988542676,0.0954618752002716
2015,DEM,5,0.0191646721214056,-0.0005813527968712151,0.06571801751852036
2015,TEMMAX,6,0.014441082254052162,-0.0001682453730609268,0.055098891258239746
2015,SLOPE,7,0.012682429514825344,0.00029801297932863235,0.0246490016579628
2015,WRB,8,0.0121020982041955,0.0008324023219756782,0.03430377319455147
2015,TEMMIN,9,0.010904206894338131,-0.00033909655758179724,0.041610799729824066
2015,TEM,10,0.010841816663742065,-0.0003803405270446092,0.039980512112379074
2015,ASPECT,11,0.0035677128471434116,-9.19584563234821e-05,0.006868149619549513
2020,AET,1,0.05386499688029289,0.0007671255734749138,0.3078751862049103
2020,PRE,2,0.03715658560395241,0.0003396559623070061,0.20725387334823608
2020,SWE,3,0.025465644896030426,-3.763722634175792e-05,0.12815450131893158
2020,SOIL,4,0.023352645337581635,0.00029992987401783466,0.1113307774066925
2020,DEM,5,0.019214732572436333,0.0003766555746551603,0.06190452352166176
2020,TEMMAX,6,0.01713884249329567,-0.00013198280066717416,0.06142813712358475
2020,WRB,7,0.012460466474294662,-1.4761028069187887e-05,0.031835995614528656
2020,TEM,8,0.011033081449568272,2.744965058809612e-05,0.03988590091466904
2020,SLOPE,9,0.009041359648108482,-2.3538641471532173e-05,0.016682714223861694
2020,TEMMIN,10,0.006640166509896517,2.805811391226598e-06,0.026853211224079132
2020,ASPECT,11,0.003996430430561304,-7.494146120734513e-05,0.006795186549425125
2024,AET,1,0.057590875774621964,-0.00259579555131495,0.3097497522830963
2024,PRE,2,0.041384220123291016,-0.0010368000948801637,0.21950335800647736
2024,SOIL,3,0.03176211565732956,-0.00019805337069556117,0.15452270209789276
2024,SWE,4,0.01836054027080536,-9.112565021496266e-05,0.09039238095283508
2024,DEM,5,0.017997248098254204,-3.2679239666322246e-05,0.058664556592702866
2024,TEMMAX,6,0.016094544902443886,-0.0007863135542720556,0.05377279967069626
2024,WRB,7,0.011168522760272026,-0.00031538892653770745,0.026514271274209023
2024,SLOPE,8,0.01047260221093893,0.0003284057311248034,0.018061136826872826
2024,TEM,9,0.01003118697553873,-0.0005329672712832689,0.0335099920630455
2024,TEMMIN,10,0.007643666118383408,-0.0005059018149040639,0.029350290074944496
2024,ASPECT,11,0.0034125037491321564,-2.0005229089292698e-05,0.005958767607808113
