Year,N_valid_pixels,N_model_samples,N_train,N_test,N_SHAP,RMSE,R2
2000,504265,100000,75000,25000,2000,0.0452493552,0.9371107112
2005,504393,100000,75000,25000,2000,0.0456036527,0.928296205
2010,504526,100000,75000,25000,2000,0.045387324,0.931532873
2015,504592,100000,75000,25000,2000,0.0473509132,0.9240297681
2020,504506,100000,75000,25000,2000,0.0470637519,0.9272121947
2024,504756,100000,75000,25000,2000,0.046196432,0.9343789759
