Year,RMSE,R2,N_samples,TopVars
2000,0.058680728901838286,0.8967367369183232,100000,"['SOIL', 'AET', 'SWE', 'TEMMAX']"
2005,0.060302777313934665,0.8903940517873132,100000,"['SOIL', 'AET', 'SWE', 'PRE']"
2010,0.06188763109183694,0.9028207075107922,100000,"['SOIL', 'AET', 'SWE', 'TEMMIN']"
2015,0.054560483048393664,0.8884762599139197,100000,"['SOIL', 'AET', 'SWE', 'PRE']"
2020,0.05439670645264331,0.8977229070827046,100000,"['SOIL', 'AET', 'SWE', 'PRE']"
2024,0.051437332005633614,0.9051010532042898,100000,"['SOIL', 'AET', 'SWE', 'PRE']"
