Year,Variable,CompositeScore,PermImportance_RMSEinc,SHAP_GlobalMeanAbs,Rank
2000,SOIL,0.8949906887276499,0.12979181149222876,0.1081626781305743,1
2000,AET,0.6325236197036119,0.15503158705402753,0.035011870381392744,2
2000,SWE,0.5088204021208103,0.16067634219658278,0.004999172672790757,3
2000,TEMMAX,0.14503337607027547,0.04153576204341245,0.013673143803335177,4
2000,TEMMIN,0.12991936370511756,0.045819335022916664,0.00743972048964368,5
2000,TEM,0.11860665271882595,0.048094740326986886,0.0034387699191021207,6
2000,PRE,0.0871047165619554,0.026157054084171308,0.012488540875707785,7
2000,DEM,0.041459224285387744,0.013620189127201704,0.0118543745644198,8
2000,SLOPE,0.02273642923184617,0.016582118699771827,0.0058068058613136376,9
2000,ASPECT,0.012481393562557987,0.017291120571711133,0.003146604678804441,10
2005,SOIL,0.9540529660042709,0.13937886812416517,0.091097073261465,1
2005,AET,0.5565863579531022,0.15127458500845162,0.013265048732091967,2
2005,SWE,0.5072074495876566,0.15185253518501984,0.004180310531586347,3
2005,PRE,0.4104558635300365,0.05531253356676128,0.04983623281272332,4
2005,TEM,0.19740338979323713,0.06704535786614522,0.004636258441847555,5
2005,TEMMIN,0.19658673923086148,0.06397486633214798,0.00648707275291657,6
2005,TEMMAX,0.1729540181700684,0.05866273727055111,0.005770038510900149,7
2005,DEM,0.04936826555714458,0.016112902219656524,0.011616465228023648,8
2005,SLOPE,0.027226157627186602,0.019379251540012476,0.005589031843804479,9
2005,ASPECT,0.015078885839549023,0.02020650707843052,0.002909089639197178,10
2010,SOIL,0.9097275295544147,0.14782177827103787,0.12420273212745683,1
2010,AET,0.5865188248613137,0.16748198162904757,0.03044009536873518,2
2010,SWE,0.5298507469610889,0.1756350996106788,0.010300215124072531,3
2010,TEMMIN,0.12721547929972482,0.05225370188158222,0.009771655624022461,4
2010,TEMMAX,0.12323169590766503,0.04669803411199822,0.013175048971916646,5
2010,TEM,0.11555147669637264,0.055603258259780554,0.004312003617005751,6
2010,PRE,0.06103039096142573,0.03116563032335118,0.010319070679676872,7
2010,DEM,0.0439994746369876,0.02158303256103321,0.01372801105113938,8
2010,SLOPE,0.02098344153776375,0.024122756817357423,0.00615490396977982,9
2010,ASPECT,0.01095215488994083,0.024957436759919748,0.0030683091041819603,10
2015,SOIL,0.9759669767566141,0.13748447851446466,0.10142027795977211,1
2015,AET,0.5277883832978034,0.14192398109309015,0.009408968006174578,2
2015,SWE,0.5061009345382492,0.1436053670039147,0.0038186019346317687,3
2015,PRE,0.23237278768978772,0.04291642798212081,0.027851771722077683,4
2015,TEMMAX,0.200628932084892,0.054314227156104296,0.012735021589403461,5
2015,TEMMIN,0.18593680767820708,0.058499985045284836,0.00658385918715677,6
2015,TEM,0.17343209734477316,0.060432904840364406,0.002612968075624398,7
2015,DEM,0.04070820406968315,0.0162620771592918,0.01065750434430501,8
2015,SLOPE,0.01882056658495484,0.018330391835216238,0.004727355007707662,9
2015,ASPECT,0.011538762711738927,0.01902944441041466,0.0027459601461809896,10
2020,SOIL,0.9425887474332164,0.13378028959731095,0.10462850916268271,1
2020,AET,0.648313219989859,0.1481735314189269,0.03302337527759384,2
2020,SWE,0.5046280837030935,0.1479666226310975,0.003936421947747727,3
2020,PRE,0.12668893979366216,0.035177507142482085,0.01858580720008911,4
2020,TEM,0.11161957041365961,0.04954675566568815,0.003847886803834148,5
2020,TEMMAX,0.10308878715736519,0.0430074680756743,0.007421741385252426,6
2020,TEMMIN,0.09918175402579953,0.045929663306376954,0.0042530428110149334,7
2020,DEM,0.0591839366882214,0.02282143424187069,0.014876220972527974,8
2020,SLOPE,0.02013094192270805,0.025072581820903467,0.005096613311618474,9
2020,ASPECT,0.011220184954573819,0.025634381671411254,0.002826084455356311,10
2024,SOIL,0.9310722681964324,0.12852097785050268,0.10873766568561921,1
2024,AET,0.624860619936709,0.14576229636461766,0.028930067337921115,2
2024,SWE,0.5095751432863189,0.14526923444252782,0.004823447696618883,3
2024,PRE,0.1766817860812529,0.04291725964762504,0.021053829427555397,4
2024,TEMMIN,0.168718943283768,0.05310557612667669,0.010694626045041908,5
2024,TEM,0.14923021275436363,0.05548200082471099,0.004527417474308479,6
2024,TEMMAX,0.12965187295708167,0.04796444055177051,0.006755994649491064,7
2024,DEM,0.043328174966410164,0.020694213729533808,0.011584757924130419,8
2024,SLOPE,0.014803835246026364,0.022310322072203913,0.004141953317921066,9
2024,ASPECT,0.008704385786225195,0.02287149541113233,0.002367070396165072,10
