code,class,pixels,percent
1,Significant degradation,12975,2.575973857091522
2,Non-significant degradation,98845,19.62405671708759
3,Stable/no trend,662,0.13142926346008382
4,Non-significant improvement,293396,58.2489730847957
5,Significant improvement,97815,19.419567077565105
