year,mean,std
2000,0.6889151930809021,0.17992426455020905
2001,0.6851927638053894,0.1773454248905182
2002,0.6809672713279724,0.17546258866786957
2003,0.687939465045929,0.16763141751289368
2004,0.6791946887969971,0.17166166007518768
2005,0.6951209902763367,0.17012609541416168
2006,0.6851550340652466,0.1754358857870102
2007,0.6846100091934204,0.1806427240371704
2008,0.6613764762878418,0.1811937391757965
2009,0.6923196911811829,0.17819638550281525
2010,0.6944198608398438,0.17370568215847015
2011,0.6791147589683533,0.1678827553987503
2012,0.680192768573761,0.16729749739170074
2013,0.7160623669624329,0.16835977137088776
2014,0.6946071982383728,0.1735348403453827
2015,0.7012706398963928,0.17177966237068176
2016,0.7075323462486267,0.17110994458198547
2017,0.6915054321289062,0.18075990676879883
2018,0.6896370649337769,0.17756500840187073
2019,0.6960502862930298,0.16754630208015442
2020,0.6991235613822937,0.17419315874576569
2021,0.6940963864326477,0.17690525949001312
2022,0.6708495020866394,0.1793665885925293
2023,0.6947952508926392,0.1763743907213211
2024,0.7108187675476074,0.180219367146492
