code,class,pixels,percent
1,Persistent degradation,95582,18.97624148042558
2,Possible reversal to degradation,13302,2.6408943542991463
3,Weak/no persistence,16736,3.3226588417945058
4,Possible reversal to improvement,10036,1.992483516745319
5,Persistent improvement,367417,72.94463095576076
