Year,N,Moran's I,E[I],var[I],Z_norm,p_sim
2000,506713,0.966010,-0.000001974,0.000000497397,1369.716,0.001
2005,506840,0.961756,-0.000001973,0.000000497146,1364.029,0.001
2010,506975,0.963236,-0.000001972,0.000000496929,1366.427,0.001
2015,507040,0.959954,-0.000001972,0.000000496896,1361.816,0.001
2020,506953,0.960604,-0.000001973,0.000000497040,1362.541,0.001
2024,507204,0.964167,-0.000001972,0.000000496570,1368.242,0.001
